frame,direction_index,direction,source_yaw_degrees,file,phase
1,0,S,-53.130102,renders/rat-walk-f01-00-s.png,left-front_right-rear_contact
1,1,SW,-25.904474,renders/rat-walk-f01-01-sw.png,left-front_right-rear_contact
1,2,W,36.869898,renders/rat-walk-f01-02-w.png,left-front_right-rear_contact
1,3,NW,99.644270,renders/rat-walk-f01-03-nw.png,left-front_right-rear_contact
1,4,N,126.869898,renders/rat-walk-f01-04-n.png,left-front_right-rear_contact
1,5,NE,154.095526,renders/rat-walk-f01-05-ne.png,left-front_right-rear_contact
1,6,E,-143.130102,renders/rat-walk-f01-06-e.png,left-front_right-rear_contact
1,7,SE,-80.355730,renders/rat-walk-f01-07-se.png,left-front_right-rear_contact
2,0,S,-53.130102,renders/rat-walk-f02-00-s.png,midway_to_pass
2,1,SW,-25.904474,renders/rat-walk-f02-01-sw.png,midway_to_pass
2,2,W,36.869898,renders/rat-walk-f02-02-w.png,midway_to_pass
2,3,NW,99.644270,renders/rat-walk-f02-03-nw.png,midway_to_pass
2,4,N,126.869898,renders/rat-walk-f02-04-n.png,midway_to_pass
2,5,NE,154.095526,renders/rat-walk-f02-05-ne.png,midway_to_pass
2,6,E,-143.130102,renders/rat-walk-f02-06-e.png,midway_to_pass
2,7,SE,-80.355730,renders/rat-walk-f02-07-se.png,midway_to_pass
3,0,S,-53.130102,renders/rat-walk-f03-00-s.png,pass
3,1,SW,-25.904474,renders/rat-walk-f03-01-sw.png,pass
3,2,W,36.869898,renders/rat-walk-f03-02-w.png,pass
3,3,NW,99.644270,renders/rat-walk-f03-03-nw.png,pass
3,4,N,126.869898,renders/rat-walk-f03-04-n.png,pass
3,5,NE,154.095526,renders/rat-walk-f03-05-ne.png,pass
3,6,E,-143.130102,renders/rat-walk-f03-06-e.png,pass
3,7,SE,-80.355730,renders/rat-walk-f03-07-se.png,pass
4,0,S,-53.130102,renders/rat-walk-f04-00-s.png,midway_to_opposite_contact
4,1,SW,-25.904474,renders/rat-walk-f04-01-sw.png,midway_to_opposite_contact
4,2,W,36.869898,renders/rat-walk-f04-02-w.png,midway_to_opposite_contact
4,3,NW,99.644270,renders/rat-walk-f04-03-nw.png,midway_to_opposite_contact
4,4,N,126.869898,renders/rat-walk-f04-04-n.png,midway_to_opposite_contact
4,5,NE,154.095526,renders/rat-walk-f04-05-ne.png,midway_to_opposite_contact
4,6,E,-143.130102,renders/rat-walk-f04-06-e.png,midway_to_opposite_contact
4,7,SE,-80.355730,renders/rat-walk-f04-07-se.png,midway_to_opposite_contact
5,0,S,-53.130102,renders/rat-walk-f05-00-s.png,right-front_left-rear_contact
5,1,SW,-25.904474,renders/rat-walk-f05-01-sw.png,right-front_left-rear_contact
5,2,W,36.869898,renders/rat-walk-f05-02-w.png,right-front_left-rear_contact
5,3,NW,99.644270,renders/rat-walk-f05-03-nw.png,right-front_left-rear_contact
5,4,N,126.869898,renders/rat-walk-f05-04-n.png,right-front_left-rear_contact
5,5,NE,154.095526,renders/rat-walk-f05-05-ne.png,right-front_left-rear_contact
5,6,E,-143.130102,renders/rat-walk-f05-06-e.png,right-front_left-rear_contact
5,7,SE,-80.355730,renders/rat-walk-f05-07-se.png,right-front_left-rear_contact
6,0,S,-53.130102,renders/rat-walk-f06-00-s.png,midway_to_pass
6,1,SW,-25.904474,renders/rat-walk-f06-01-sw.png,midway_to_pass
6,2,W,36.869898,renders/rat-walk-f06-02-w.png,midway_to_pass
6,3,NW,99.644270,renders/rat-walk-f06-03-nw.png,midway_to_pass
6,4,N,126.869898,renders/rat-walk-f06-04-n.png,midway_to_pass
6,5,NE,154.095526,renders/rat-walk-f06-05-ne.png,midway_to_pass
6,6,E,-143.130102,renders/rat-walk-f06-06-e.png,midway_to_pass
6,7,SE,-80.355730,renders/rat-walk-f06-07-se.png,midway_to_pass
7,0,S,-53.130102,renders/rat-walk-f07-00-s.png,pass
7,1,SW,-25.904474,renders/rat-walk-f07-01-sw.png,pass
7,2,W,36.869898,renders/rat-walk-f07-02-w.png,pass
7,3,NW,99.644270,renders/rat-walk-f07-03-nw.png,pass
7,4,N,126.869898,renders/rat-walk-f07-04-n.png,pass
7,5,NE,154.095526,renders/rat-walk-f07-05-ne.png,pass
7,6,E,-143.130102,renders/rat-walk-f07-06-e.png,pass
7,7,SE,-80.355730,renders/rat-walk-f07-07-se.png,pass
8,0,S,-53.130102,renders/rat-walk-f08-00-s.png,midway_to_loop
8,1,SW,-25.904474,renders/rat-walk-f08-01-sw.png,midway_to_loop
8,2,W,36.869898,renders/rat-walk-f08-02-w.png,midway_to_loop
8,3,NW,99.644270,renders/rat-walk-f08-03-nw.png,midway_to_loop
8,4,N,126.869898,renders/rat-walk-f08-04-n.png,midway_to_loop
8,5,NE,154.095526,renders/rat-walk-f08-05-ne.png,midway_to_loop
8,6,E,-143.130102,renders/rat-walk-f08-06-e.png,midway_to_loop
8,7,SE,-80.355730,renders/rat-walk-f08-07-se.png,midway_to_loop
